# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 18:59:53 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04086000 SHEBOYGAN RIVER AT SHEBOYGAN, WI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04086000
#            TS   parameter     statistic     Description
#        152994       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	152994_00060_00003	152994_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04086000	2000-01-01	110	A:e
USGS	04086000	2000-01-02	110	A:e
USGS	04086000	2000-01-03	100	A:e
USGS	04086000	2000-01-04	110	A:e
USGS	04086000	2000-01-05	110	A:e
USGS	04086000	2000-01-06	110	A:e
USGS	04086000	2000-01-07	110	A:e
USGS	04086000	2000-01-08	100	A:e
USGS	04086000	2000-01-09	110	A:e
USGS	04086000	2000-01-10	120	A:e
USGS	04086000	2000-01-11	130	A:e
USGS	04086000	2000-01-12	120	A:e
USGS	04086000	2000-01-13	110	A:e
USGS	04086000	2000-01-14	100	A:e
USGS	04086000	2000-01-15	120	A:e
USGS	04086000	2000-01-16	120	A:e
USGS	04086000	2000-01-17	110	A:e
USGS	04086000	2000-01-18	110	A:e
USGS	04086000	2000-01-19	100	A:e
USGS	04086000	2000-01-20	100	A:e
USGS	04086000	2000-01-21	110	A:e
USGS	04086000	2000-01-22	110	A:e
USGS	04086000	2000-01-23	110	A:e
USGS	04086000	2000-01-24	120	A:e
USGS	04086000	2000-01-25	120	A:e
USGS	04086000	2000-01-26	120	A:e
USGS	04086000	2000-01-27	130	A:e
USGS	04086000	2000-01-28	130	A:e
USGS	04086000	2000-01-29	130	A:e
USGS	04086000	2000-01-30	130	A:e
USGS	04086000	2000-01-31	130	A:e
USGS	04086000	2000-02-01	140	A:e
USGS	04086000	2000-02-02	140	A:e
USGS	04086000	2000-02-03	140	A:e
USGS	04086000	2000-02-04	140	A:e
USGS	04086000	2000-02-05	140	A:e
USGS	04086000	2000-02-06	140	A:e
USGS	04086000	2000-02-07	140	A:e
USGS	04086000	2000-02-08	140	A:e
USGS	04086000	2000-02-09	130	A:e
USGS	04086000	2000-02-10	140	A:e
USGS	04086000	2000-02-11	140	A:e
USGS	04086000	2000-02-12	130	A:e
USGS	04086000	2000-02-13	130	A:e
USGS	04086000	2000-02-14	140	A:e
USGS	04086000	2000-02-15	140	A:e
USGS	04086000	2000-02-16	150	A:e
USGS	04086000	2000-02-17	150	A:e
USGS	04086000	2000-02-18	160	A:e
USGS	04086000	2000-02-19	160	A:e
USGS	04086000	2000-02-20	160	A:e
USGS	04086000	2000-02-21	160	A:e
USGS	04086000	2000-02-22	180	A:e
USGS	04086000	2000-02-23	230	A:e
USGS	04086000	2000-02-24	460	A:e
USGS	04086000	2000-02-25	800	A:e
USGS	04086000	2000-02-26	1100	A:e
USGS	04086000	2000-02-27	1600	A:e
USGS	04086000	2000-02-28	1130	A
USGS	04086000	2000-02-29	980	A
USGS	04086000	2000-03-01	849	A
USGS	04086000	2000-03-02	778	A
USGS	04086000	2000-03-03	701	A
USGS	04086000	2000-03-04	593	A
USGS	04086000	2000-03-05	513	A
USGS	04086000	2000-03-06	471	A
USGS	04086000	2000-03-07	435	A
USGS	04086000	2000-03-08	403	A
USGS	04086000	2000-03-09	395	A
USGS	04086000	2000-03-10	359	A
USGS	04086000	2000-03-11	299	A
USGS	04086000	2000-03-12	231	A
USGS	04086000	2000-03-13	251	A
USGS	04086000	2000-03-14	259	A
USGS	04086000	2000-03-15	265	A
USGS	04086000	2000-03-16	264	A
USGS	04086000	2000-03-17	248	A
USGS	04086000	2000-03-18	228	A
USGS	04086000	2000-03-19	228	A
USGS	04086000	2000-03-20	249	A
USGS	04086000	2000-03-21	292	A
USGS	04086000	2000-03-22	300	A
USGS	04086000	2000-03-23	286	A
USGS	04086000	2000-03-24	277	A
USGS	04086000	2000-03-25	302	A
USGS	04086000	2000-03-26	303	A
USGS	04086000	2000-03-27	305	A
USGS	04086000	2000-03-28	301	A
USGS	04086000	2000-03-29	281	A
USGS	04086000	2000-03-30	265	A
USGS	04086000	2000-03-31	247	A
USGS	04086000	2000-04-01	235	A
USGS	04086000	2000-04-02	225	A
USGS	04086000	2000-04-03	216	A
USGS	04086000	2000-04-04	209	A
USGS	04086000	2000-04-05	195	A
USGS	04086000	2000-04-06	188	A
USGS	04086000	2000-04-07	194	A
USGS	04086000	2000-04-08	192	A
USGS	04086000	2000-04-09	204	A
USGS	04086000	2000-04-10	219	A
USGS	04086000	2000-04-11	201	A
USGS	04086000	2000-04-12	193	A
USGS	04086000	2000-04-13	179	A
USGS	04086000	2000-04-14	164	A
USGS	04086000	2000-04-15	169	A
USGS	04086000	2000-04-16	163	A
USGS	04086000	2000-04-17	168	A
USGS	04086000	2000-04-18	178	A
USGS	04086000	2000-04-19	190	A
USGS	04086000	2000-04-20	550	A
USGS	04086000	2000-04-21	1100	A
USGS	04086000	2000-04-22	839	A
USGS	04086000	2000-04-23	674	A
USGS	04086000	2000-04-24	560	A
USGS	04086000	2000-04-25	495	A
USGS	04086000	2000-04-26	443	A
