# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:00:37 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 0423205010 IRONDEQUOIT CR ABOVE BLOSSOM RD NEAR ROCHESTER NY
# -----------------------------------------------------------------------------------
#
# Data provided for site 0423205010
#            TS   parameter     statistic     Description
#        105655       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	105655_00060_00003	105655_00060_00003_cd
5s	15s	20d	14n	10s
USGS	0423205010	2000-01-01	66.0	A
USGS	0423205010	2000-01-02	68.0	A
USGS	0423205010	2000-01-03	111	A
USGS	0423205010	2000-01-04	302	A
USGS	0423205010	2000-01-05	243	A
USGS	0423205010	2000-01-06	150	A
USGS	0423205010	2000-01-07	126	A
USGS	0423205010	2000-01-08	109	A
USGS	0423205010	2000-01-09	96.0	A
USGS	0423205010	2000-01-10	126	A
USGS	0423205010	2000-01-11	144	A
USGS	0423205010	2000-01-12	119	A
USGS	0423205010	2000-01-13	106	A
USGS	0423205010	2000-01-14	88.0	A
USGS	0423205010	2000-01-15	86.0	A:e
USGS	0423205010	2000-01-16	86.0	A:e
USGS	0423205010	2000-01-17	75.0	A:e
USGS	0423205010	2000-01-18	70.0	A:e
USGS	0423205010	2000-01-19	68.0	A:e
USGS	0423205010	2000-01-20	68.0	A:e
USGS	0423205010	2000-01-21	64.0	A:e
USGS	0423205010	2000-01-22	66.0	A:e
USGS	0423205010	2000-01-23	66.0	A:e
USGS	0423205010	2000-01-24	64.0	A:e
USGS	0423205010	2000-01-25	62.0	A:e
USGS	0423205010	2000-01-26	64.0	A:e
USGS	0423205010	2000-01-27	62.0	A:e
USGS	0423205010	2000-01-28	62.0	A:e
USGS	0423205010	2000-01-29	60.0	A:e
USGS	0423205010	2000-01-30	64.0	A:e
USGS	0423205010	2000-01-31	70.0	A:e
USGS	0423205010	2000-02-01	71.0	A
USGS	0423205010	2000-02-02	68.0	A:e
USGS	0423205010	2000-02-03	66.0	A:e
USGS	0423205010	2000-02-04	68.0	A
USGS	0423205010	2000-02-05	64.0	A:e
USGS	0423205010	2000-02-06	63.0	A:e
USGS	0423205010	2000-02-07	64.0	A:e
USGS	0423205010	2000-02-08	60.0	A:e
USGS	0423205010	2000-02-09	68.0	A:e
USGS	0423205010	2000-02-10	76.0	A:e
USGS	0423205010	2000-02-11	84.0	A:e
USGS	0423205010	2000-02-12	75.0	A:e
USGS	0423205010	2000-02-13	72.0	A:e
USGS	0423205010	2000-02-14	76.0	A:e
USGS	0423205010	2000-02-15	75.0	A
USGS	0423205010	2000-02-16	80.0	A
USGS	0423205010	2000-02-17	83.0	A
USGS	0423205010	2000-02-18	80.0	A
USGS	0423205010	2000-02-19	82.0	A
USGS	0423205010	2000-02-20	80.0	A
USGS	0423205010	2000-02-21	83.0	A
USGS	0423205010	2000-02-22	115	A
USGS	0423205010	2000-02-23	272	A
USGS	0423205010	2000-02-24	504	A
USGS	0423205010	2000-02-25	713	A
USGS	0423205010	2000-02-26	660	A
USGS	0423205010	2000-02-27	496	A
USGS	0423205010	2000-02-28	477	A
USGS	0423205010	2000-02-29	346	A
USGS	0423205010	2000-03-01	266	A
USGS	0423205010	2000-03-02	240	A
USGS	0423205010	2000-03-03	224	A
USGS	0423205010	2000-03-04	217	A
USGS	0423205010	2000-03-05	209	A
USGS	0423205010	2000-03-06	185	A
USGS	0423205010	2000-03-07	162	A
USGS	0423205010	2000-03-08	144	A
USGS	0423205010	2000-03-09	176	A
USGS	0423205010	2000-03-10	235	A
USGS	0423205010	2000-03-11	187	A
USGS	0423205010	2000-03-12	179	A
USGS	0423205010	2000-03-13	181	A
USGS	0423205010	2000-03-14	228	A
USGS	0423205010	2000-03-15	269	A
USGS	0423205010	2000-03-16	256	A
USGS	0423205010	2000-03-17	262	A
USGS	0423205010	2000-03-18	243	A
USGS	0423205010	2000-03-19	228	A
USGS	0423205010	2000-03-20	241	A
USGS	0423205010	2000-03-21	205	A
USGS	0423205010	2000-03-22	181	A
USGS	0423205010	2000-03-23	159	A
USGS	0423205010	2000-03-24	146	A
USGS	0423205010	2000-03-25	136	A
USGS	0423205010	2000-03-26	119	A
USGS	0423205010	2000-03-27	110	A
USGS	0423205010	2000-03-28	95.0	A
USGS	0423205010	2000-03-29	102	A
USGS	0423205010	2000-03-30	96.0	A
USGS	0423205010	2000-03-31	78.0	A
USGS	0423205010	2000-04-01	74.0	A
USGS	0423205010	2000-04-02	90.0	A
USGS	0423205010	2000-04-03	139	A
USGS	0423205010	2000-04-04	509	A
USGS	0423205010	2000-04-05	401	A
USGS	0423205010	2000-04-06	260	A
USGS	0423205010	2000-04-07	242	A
USGS	0423205010	2000-04-08	583	A
USGS	0423205010	2000-04-09	821	A
USGS	0423205010	2000-04-10	442	A
USGS	0423205010	2000-04-11	303	A
USGS	0423205010	2000-04-12	298	A
USGS	0423205010	2000-04-13	268	A
USGS	0423205010	2000-04-14	196	A
USGS	0423205010	2000-04-15	158	A
USGS	0423205010	2000-04-16	141	A
USGS	0423205010	2000-04-17	130	A
USGS	0423205010	2000-04-18	129	A
USGS	0423205010	2000-04-19	136	A
USGS	0423205010	2000-04-20	178	A
USGS	0423205010	2000-04-21	489	A
USGS	0423205010	2000-04-22	453	A
USGS	0423205010	2000-04-23	385	A
USGS	0423205010	2000-04-24	293	A
USGS	0423205010	2000-04-25	220	A
USGS	0423205010	2000-04-26	180	A
USGS	0423205010	2000-04-27	158	A
USGS	0423205010	2000-04-28	144	A
USGS	0423205010	2000-04-29	130	A
USGS	0423205010	2000-04-30	118	A
USGS	0423205010	2000-05-01	118	A
USGS	0423205010	2000-05-02	149	A
USGS	0423205010	2000-05-03	128	A
USGS	0423205010	2000-05-04	115	A
USGS	0423205010	2000-05-05	103	A
USGS	0423205010	2000-05-06	103	A
USGS	0423205010	2000-05-07	94.0	A
USGS	0423205010	2000-05-08	87.0	A
USGS	0423205010	2000-05-09	83.0	A
USGS	0423205010	2000-05-10	168	A
USGS	0423205010	2000-05-11	132	A
USGS	0423205010	2000-05-12	279	A
USGS	0423205010	2000-05-13	1900	A
USGS	0423205010	2000-05-14	1130	A
USGS	0423205010	2000-05-15	426	A
USGS	0423205010	2000-05-16	289	A
USGS	0423205010	2000-05-17	235	A
USGS	0423205010	2000-05-18	250	A
USGS	0423205010	2000-05-19	245	A
USGS	0423205010	2000-05-20	201	A
USGS	0423205010	2000-05-21	181	A
USGS	0423205010	2000-05-22	168	A
USGS	0423205010	2000-05-23	178	A
USGS	0423205010	2000-05-24	333	A
USGS	0423205010	2000-05-25	324	A
USGS	0423205010	2000-05-26	231	A
USGS	0423205010	2000-05-27	179	A
USGS	0423205010	2000-05-28	152	A
USGS	0423205010	2000-05-29	133	A
USGS	0423205010	2000-05-30	120	A
USGS	0423205010	2000-05-31	113	A
USGS	0423205010	2000-06-01	112	A
USGS	0423205010	2000-06-02	114	A
USGS	0423205010	2000-06-03	104	A
USGS	0423205010	2000-06-04	95.0	A
USGS	0423205010	2000-06-05	94.0	A
USGS	0423205010	2000-06-06	172	A
USGS	0423205010	2000-06-07	127	A
USGS	0423205010	2000-06-08	105	A
USGS	0423205010	2000-06-09	96.0	A
USGS	0423205010	2000-06-10	92.0	A
USGS	0423205010	2000-06-11	148	A
USGS	0423205010	2000-06-12	164	A
