# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:00:58 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04101500 ST. JOSEPH RIVER AT NILES, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04101500
#            TS   parameter     statistic     Description
#         70407       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	70407_00060_00003	70407_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04101500	2000-01-01	1990	A
USGS	04101500	2000-01-02	1960	A
USGS	04101500	2000-01-03	2070	A
USGS	04101500	2000-01-04	2040	A
USGS	04101500	2000-01-05	2100	A
USGS	04101500	2000-01-06	2030	A
USGS	04101500	2000-01-07	2080	A
USGS	04101500	2000-01-08	2060	A
USGS	04101500	2000-01-09	2190	A
USGS	04101500	2000-01-10	2180	A
USGS	04101500	2000-01-11	2210	A
USGS	04101500	2000-01-12	2260	A
USGS	04101500	2000-01-13	2220	A
USGS	04101500	2000-01-14	2160	A
USGS	04101500	2000-01-15	2120	A
USGS	04101500	2000-01-16	2130	A
USGS	04101500	2000-01-17	2040	A
USGS	04101500	2000-01-18	1880	A
USGS	04101500	2000-01-19	1890	A
USGS	04101500	2000-01-20	2040	A
USGS	04101500	2000-01-21	1760	A
USGS	04101500	2000-01-22	1590	A
USGS	04101500	2000-01-23	1710	A
USGS	04101500	2000-01-24	1960	A
USGS	04101500	2000-01-25	1770	A
USGS	04101500	2000-01-26	1800	A
