# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2019-07-27 19:00:45 EDT       (sdww02)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04102700 SOUTH BRANCH BLACK RIVER NEAR BANGOR, MI
# -----------------------------------------------------------------------------------
#
# Data provided for site 04102700
#            TS   parameter     statistic     Description
#         70434       00060     00003     Discharge, cubic feet per second (Mean)
#         70435       80154     00003     Suspended sediment concentration, milligrams per liter (Mean)
#         70436       80155     00003     Suspended sediment discharge, short tons per day (Mean)
#
# Data-value qualification codes included in this output:
#     A  Approved for publication -- Processing and review completed.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	70434_00060_00003	70434_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04102700	2000-01-01	36.0	A
USGS	04102700	2000-01-02	38.0	A
USGS	04102700	2000-01-03	48.0	A
USGS	04102700	2000-01-04	48.0	A
USGS	04102700	2000-01-05	47.0	A
USGS	04102700	2000-01-06	45.0	A
USGS	04102700	2000-01-07	43.0	A
USGS	04102700	2000-01-08	40.0	A
USGS	04102700	2000-01-09	46.0	A
USGS	04102700	2000-01-10	62.0	A
USGS	04102700	2000-01-11	65.0	A
USGS	04102700	2000-01-12	57.0	A
USGS	04102700	2000-01-13	52.0	A
USGS	04102700	2000-01-14	47.0	A
USGS	04102700	2000-01-15	44.0	A
USGS	04102700	2000-01-16	43.0	A
USGS	04102700	2000-01-17	41.0	A:e
USGS	04102700	2000-01-18	40.0	A:e
USGS	04102700	2000-01-19	39.0	A:e
USGS	04102700	2000-01-20	38.0	A:e
USGS	04102700	2000-01-21	37.0	A:e
USGS	04102700	2000-01-22	36.0	A:e
USGS	04102700	2000-01-23	35.0	A:e
USGS	04102700	2000-01-24	34.0	A:e
USGS	04102700	2000-01-25	33.0	A:e
USGS	04102700	2000-01-26	32.0	A:e
USGS	04102700	2000-01-27	31.0	A:e
USGS	04102700	2000-01-28	31.0	A:e
USGS	04102700	2000-01-29	30.0	A:e
USGS	04102700	2000-01-30	30.0	A:e
USGS	04102700	2000-01-31	30.0	A:e
USGS	04102700	2000-02-01	30.0	A:e
USGS	04102700	2000-02-02	31.0	A:e
USGS	04102700	2000-02-03	31.0	A:e
USGS	04102700	2000-02-04	32.0	A:e
USGS	04102700	2000-02-05	32.0	A:e
USGS	04102700	2000-02-06	31.0	A:e
USGS	04102700	2000-02-07	32.0	A:e
USGS	04102700	2000-02-08	32.0	A:e
USGS	04102700	2000-02-09	32.0	A:e
USGS	04102700	2000-02-10	33.0	A:e
USGS	04102700	2000-02-11	33.0	A:e
USGS	04102700	2000-02-12	33.0	A:e
USGS	04102700	2000-02-13	34.0	A:e
USGS	04102700	2000-02-14	34.0	A:e
USGS	04102700	2000-02-15	34.0	A
USGS	04102700	2000-02-16	35.0	A
USGS	04102700	2000-02-17	35.0	A
USGS	04102700	2000-02-18	36.0	A
USGS	04102700	2000-02-19	36.0	A
USGS	04102700	2000-02-20	36.0	A
USGS	04102700	2000-02-21	36.0	A
USGS	04102700	2000-02-22	41.0	A
USGS	04102700	2000-02-23	86.0	A
USGS	04102700	2000-02-24	100	A
USGS	04102700	2000-02-25	109	A
USGS	04102700	2000-02-26	101	A
USGS	04102700	2000-02-27	101	A
USGS	04102700	2000-02-28	97.0	A
USGS	04102700	2000-02-29	87.0	A
USGS	04102700	2000-03-01	78.0	A
USGS	04102700	2000-03-02	71.0	A
USGS	04102700	2000-03-03	66.0	A
USGS	04102700	2000-03-04	61.0	A
USGS	04102700	2000-03-05	56.0	A
USGS	04102700	2000-03-06	53.0	A
USGS	04102700	2000-03-07	51.0	A
USGS	04102700	2000-03-08	49.0	A
USGS	04102700	2000-03-09	47.0	A
USGS	04102700	2000-03-10	46.0	A
USGS	04102700	2000-03-11	45.0	A
USGS	04102700	2000-03-12	43.0	A
USGS	04102700	2000-03-13	42.0	A
USGS	04102700	2000-03-14	42.0	A
USGS	04102700	2000-03-15	43.0	A
USGS	04102700	2000-03-16	48.0	A
USGS	04102700	2000-03-17	49.0	A
USGS	04102700	2000-03-18	48.0	A
USGS	04102700	2000-03-19	47.0	A
USGS	04102700	2000-03-20	51.0	A
USGS	04102700	2000-03-21	58.0	A
USGS	04102700	2000-03-22	59.0	A
USGS	04102700	2000-03-23	58.0	A
USGS	04102700	2000-03-24	56.0	A
USGS	04102700	2000-03-25	57.0	A
USGS	04102700	2000-03-26	56.0	A
USGS	04102700	2000-03-27	56.0	A
USGS	04102700	2000-03-28	55.0	A
USGS	04102700	2000-03-29	52.0	A
USGS	04102700	2000-03-30	50.0	A
USGS	04102700	2000-03-31	47.0	A
USGS	04102700	2000-04-01	45.0	A
USGS	04102700	2000-04-02	45.0	A
USGS	04102700	2000-04-03	44.0	A
USGS	04102700	2000-04-04	44.0	A
USGS	04102700	2000-04-05	42.0	A
USGS	04102700	2000-04-06	41.0	A
USGS	04102700	2000-04-07	42.0	A
USGS	04102700	2000-04-08	61.0	A
