# ---------------------------------- WARNING ----------------------------------------
# Some of the data that you have obtained from this U.S. Geological Survey database
# may not have received Director's approval. Any such data values are qualified
# as provisional and are subject to revision. Provisional data are released on the
# condition that neither the USGS nor the United States Government may be held liable
# for any damages resulting from its use.
#
# Additional info: https://help.waterdata.usgs.gov/policies/provisional-data-statement
#
# File-format description:  https://help.waterdata.usgs.gov/faq/about-tab-delimited-output
# Automated-retrieval info: https://help.waterdata.usgs.gov/faq/automated-retrievals
#
# Contact:   gs-w_support_nwisweb@usgs.gov
# retrieved: 2018-08-07 11:45:29 EDT       (vaww01)
#
# Data for the following 1 site(s) are contained in this file
#    USGS 04193500 Maumee River at Waterville OH
# -----------------------------------------------------------------------------------
#
# Data provided for site 04193500
#            TS   parameter     statistic     Description
#        109477       00060     00003     Discharge, cubic feet per second (Mean)
#
# Data-value qualification codes included in this output:
#        
#     A  Approved for publication -- Processing and review completed.
#     P  Provisional data subject to revision.
#     e  Value has been estimated.
# 
agency_cd	site_no	datetime	109477_00060_00003	109477_00060_00003_cd
5s	15s	20d	14n	10s
USGS	04193500	1898-11-20	4900	A
USGS	04193500	1898-11-21	4170	A
USGS	04193500	1898-11-22	4000	A
USGS	04193500	1898-11-23	2680	A
USGS	04193500	1898-11-24	2390	A
USGS	04193500	1898-11-25	2010	A
USGS	04193500	1898-11-26	2390	A
USGS	04193500	1898-11-27	1260	A
USGS	04193500	1898-11-28	1560	A
USGS	04193500	1898-11-29	1450	A
USGS	04193500	1898-11-30	1350	A
USGS	04193500	1898-12-01	1260	A
USGS	04193500	1898-12-02	1160	A
USGS	04193500	1898-12-03	1330	A
USGS	04193500	1898-12-04	1350	A
USGS	04193500	1898-12-05	1560	A
USGS	04193500	1898-12-06	1160	A
USGS	04193500	1898-12-07	1070	A
USGS	04193500	1898-12-08	980	A
USGS	04193500	1898-12-09	2530	A
USGS	04193500	1898-12-10	1160	A
USGS	04193500	1898-12-11	5090	A
USGS	04193500	1898-12-12	3490	A
USGS	04193500	1898-12-13	3000	A
USGS	04193500	1898-12-14	5090	A
USGS	04193500	1898-12-15	5490	A
USGS	04193500	1898-12-16	6310	A
USGS	04193500	1898-12-17	4900	A
USGS	04193500	1898-12-18	4170	A
USGS	04193500	1898-12-19	2010	A
USGS	04193500	1898-12-20	4170	A
USGS	04193500	1898-12-21	12900	A
USGS	04193500	1898-12-22	24300	A
USGS	04193500	1898-12-23	32600	A
USGS	04193500	1898-12-24	27700	A
USGS	04193500	1898-12-25	27700	A
USGS	04193500	1898-12-26	19600	A
USGS	04193500	1898-12-27	18600	A
USGS	04193500	1898-12-28	14900	A
USGS	04193500	1898-12-29	10500	A
USGS	04193500	1898-12-30	8690	A
USGS	04193500	1898-12-31	7150	A
USGS	04193500	1899-01-01	6750	A
USGS	04193500	1899-01-02	6750	A
USGS	04193500	1899-01-03	5510	A
USGS	04193500	1899-01-04	6530	A
USGS	04193500	1899-01-05	10700	A
USGS	04193500	1899-01-06	13500	A
USGS	04193500	1899-01-07	12500	A
USGS	04193500	1899-01-08	10700	A
USGS	04193500	1899-01-09	6980	A
USGS	04193500	1899-01-10	7220	A
USGS	04193500	1899-01-11	7220	A
USGS	04193500	1899-01-12	5710	A
USGS	04193500	1899-01-13	4580	A
USGS	04193500	1899-01-14	9950	A
USGS	04193500	1899-01-15	27500	A
USGS	04193500	1899-01-16	32300	A
USGS	04193500	1899-01-17	33300	A
USGS	04193500	1899-01-18	28800	A
USGS	04193500	1899-01-19	24000	A
USGS	04193500	1899-01-20	17500	A
USGS	04193500	1899-01-21	13000	A
