FID,ID,Name,Lat,Lon,Lat_90m,Lon_90m,Country,Area(km2),Derived_area(km2),Area_error(%),Regulation,Regulated_period,Reference,Q_period,Q_length,Hongren,Tim,Amin,Frank,Flow_info1,Flow_info2,Lake_info,Missing_data,Observation_percent_2000-2017,Objective_info,Calibration/Validation,Watershed_NO,Most_downstream,Q-t_check,SubId_version1,DowSubId_version1,SubId_version2,DowSubId_version2,SubId_version3,DowSubId_version3
0,02GG006,BEAR CREEK NEAR PETROLIA,42.90583038,-82.11911011,42.895401,-82.129303,CA,249,237.818,-4.490763052,Natural,All, ,1966-2017,52,TRUE,FALSE,FALSE,FALSE, , ,STCLAIR, ,100,Obj1,C,GL052,FALSE,Normal,201,202,6634,4871,-9999,-9999
1,02GG002,Sydenham River near Alvinston,42.83081055,-81.85172272,42.8138008,-81.8526993,CA,701,712.3529,1.619529244,Natural,All, ,1947-2017,71,FALSE,TRUE,FALSE,TRUE, , ,STCLAIR, ,100,Obj1,C,GL085,FALSE,Normal,199,200,6632,4892,-9999,-9999
2,02GD004,MIDDLE THAMES RIVER AT THAMESFORD,43.05910873,-80.99485779,43.0429001,-80.9968033,CA,306,297.4756,-2.785751634,Natural,1900-End, ,1938-2017,80,TRUE,FALSE,FALSE,FALSE, , ,STCLAIR, ,100,Obj1,C,GL134,FALSE,Normal,196,197,6629,5025,-9999,-9999
3,02BF002,GOULAIS RIVER NEAR SEARCHMONT,46.86093903,-83.97180939,46.8428993,-83.9701996,CA,1140,1181.26041,3.619334211,Natural,All, ,1967-2017,51,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR, ,100,Obj1,C,GL106,FALSE,Normal,226,227,6659,1726,-9999,-9999
4,02AD010,BLACKWATER RIVER AT BEARDMORE,49.59761047,-87.96543884,49.5820999,-87.9742966,CA,652,717.809,10.09340491,Natural,All, ,1971-2016,46,TRUE,FALSE,FALSE,FALSE, , ,SUPERIOR,2005-06-27 - 2005-09-25; 2005-10-01 - 2013-12-31,98.31178707,Obj1,C,GL155,FALSE,Normal,213,25,6646,6380,-9999,-9999
5,02JC008,BLANCHE RIVER ABOVE ENGLEHART,47.88914,-79.8793,47.8796005,-79.8809967,CA,1782.25,1801.46872,1.0783403,Natural,All, ,1968-2016,49,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2011-12-31 - 2012-12-31,99.96958175,Obj1,C,GL156,FALSE,Normal,244,2,6677,822,-9999,-9999
6,02KF011,CARP RIVER NEAR KINBURN,45.41758,-76.1987,45.4278984,-76.1942978,CA,258.480011,266.225,2.996358972,Natural,All, ,1971-2016,46,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2005-07-15 - 2006-04-18,95.77186312,Obj1,C,GL156,FALSE,Normal,254,255,6687,3987,-9999,-9999
7,02LB008,BEAR BROOK NEAR BOURGET,45.426,-75.1532,45.4278984,-75.1427002,CA,448.1700134,427.4034,-4.633646335,Natural,All, ,1949-2016,61,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2000-08-02 - 2000-08-14; 2001-08-09 - 2001-08-14; 2001-09-04 - 2001-09-22; 2004-01-28 - 2004-03-01; 2004-03-03 - 2004-03-09; 2004-03-11 - 2004-03-30; 2004-04-01 - 2004-05-02; 2004-05-04 - 2004-05-16; 2007-09-14 - 2007-09-17; 2007-09-19 - 2007-11-22; 2007,95.37642586,Obj1,C,GL129,FALSE,Normal,257,258,6690,3977,-9999,-9999
8,02HL003,BLACK RIVER NEAR ACTINOLITE,44.53960037,-77.36965179,44.5321007,-77.3676987,CA,429,412.9181,-3.748694639,Natural,2015-End, ,1955-2017,63,TRUE,FALSE,FALSE,TRUE, , ,ONTARIO, ,100,Obj1,C,GL117,FALSE,Normal,180,179,6613,3881,-9999,-9999
9,02HL004,SKOOTAMATTA RIVER NEAR ACTINOLITE,44.54956818,-77.32813263,44.5312996,-77.3318024,CA,678,672.1091,-0.868864307,Natural,All, ,1955-2017,63,TRUE,FALSE,TRUE,TRUE, , ,ONTARIO, ,100,Obj1,C,GL117,FALSE,Normal,181,179,6614,3894,-9999,-9999
