FID,ID,Name,Lat,Lon,lat_snap_90m,lon_snap_90m,Country,Area(km2),Derived_area(km2),Area_error,Regulation,Regulated_period,Reference,Q_period,Q_length,Hongren,Tim,Amin,Frank,Flow_info1,Flow_info2,Lake_info,Missing_data,Observation_percent_2000-2017,Objective_info,Calibration/Validation,Watershed_NO,Most_downstream,Q-t_check,Annual_runoff(mm),SubId_version1&2,DowSubId_version1&2,SubId_version3,DowSubId_version3
0,02GG006,BEAR CREEK NEAR PETROLIA,42.90583038,-82.11911011,42.895401,-82.129303,CA,249,237.8182989,-4.49064301,Natural,All, ,1966-2017,52,TRUE,FALSE,FALSE,FALSE, , ,STCLAIR, ,100,Obj1,C,GL052,FALSE,Normal,365,6634,4871,7158,3557
1,02GG002,Sydenham River near Alvinston,42.83081055,-81.85172272,42.8138008,-81.8526993,CA,701,712.3523205,1.619446582,Natural,All, ,1947-2017,71,FALSE,TRUE,FALSE,TRUE, , ,STCLAIR, ,100,Obj1,C,GL085,FALSE,Normal,349,6632,4892,7156,3578
2,02GD004,MIDDLE THAMES RIVER AT THAMESFORD,43.05910873,-80.99485779,43.0429001,-80.9968033,CA,306,297.4753308,-2.785839598,Natural,1900-End, ,1938-2017,80,TRUE,FALSE,FALSE,FALSE, , ,STCLAIR, ,100,Obj1,C,GL134,FALSE,Normal,412,6629,5025,7153,3709
3,02BF002,GOULAIS RIVER NEAR SEARCHMONT,46.86093903,-83.97180939,46.8428993,-83.9701996,CA,1140,1181.260562,3.61934751,Natural,All, ,1967-2017,51,FALSE,TRUE,TRUE,TRUE, , ,SUPERIOR, ,100,Obj1,C,GL106,FALSE,Normal,477,6659,1726,7183,1268
4,02AD010,BLACKWATER RIVER AT BEARDMORE,49.59761047,-87.96543884,49.5820999,-87.9742966,CA,652,717.8083845,10.09331051,Natural,All, ,1971-2016,46,TRUE,FALSE,FALSE,FALSE, , ,SUPERIOR,2005-06-27 - 2005-09-25; 2005-10-01 - 2013-12-31,98.31178707,Obj1,C,GL155,FALSE,Normal,353,6646,6380,7170,5912
5,02JC008,BLANCHE RIVER ABOVE ENGLEHART,47.88914,-79.8793,47.8796005,-79.8809967,CA,1782.25,1801.469873,1.078404994,Natural,All, ,1968-2016,49,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2011-12-31 - 2012-12-31,99.96958175,Obj1,C,GL156,FALSE,Normal,425,6677,822,7201,600
6,02KF011,CARP RIVER NEAR KINBURN,45.41758,-76.1987,45.4278984,-76.1942978,CA,258.480011,266.2252177,2.996443193,Natural,All, ,1971-2016,46,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2005-07-15 - 2006-04-18,95.77186312,Obj1,C,GL156,FALSE,Normal,389,6687,3987,7210,6920
7,02LB008,BEAR BROOK NEAR BOURGET,45.426,-75.1532,45.4278984,-75.1427002,CA,448.1700134,427.4033059,-4.633667321,Natural,All, ,1949-2016,61,TRUE,FALSE,FALSE,FALSE, , ,OTTAWA,2000-08-02 - 2000-08-14; 2001-08-09 - 2001-08-14; 2001-09-04 - 2001-09-22; 2004-01-28 - 2004-03-01; 2004-03-03 - 2004-03-09; 2004-03-11 - 2004-03-30; 2004-04-01 - 2004-05-02; 2004-05-04 - 2004-05-16; 2007-09-14 - 2007-09-17; 2007-09-19 - 2007-11-22; 2007,95.37642586,Obj1,C,GL129,FALSE,Normal,461,6690,3977,7213,2760
8,02HL003,BLACK RIVER NEAR ACTINOLITE,44.53960037,-77.36965179,44.5321007,-77.3676987,CA,429,412.9174464,-3.748846984,Natural,2015-End, ,1955-2017,63,TRUE,FALSE,FALSE,TRUE, , ,ONTARIO, ,100,Obj1,C,GL117,FALSE,Normal,415,6613,3881,7137,2693
9,02HL004,SKOOTAMATTA RIVER NEAR ACTINOLITE,44.54956818,-77.32813263,44.5312996,-77.3318024,CA,678,672.109515,-0.8688031,Natural,All, ,1955-2017,63,TRUE,FALSE,TRUE,TRUE, , ,ONTARIO, ,100,Obj1,C,GL117,FALSE,Normal,397,6614,3894,7138,2701
10,02HL005,MOIRA RIVER NEAR DELORO,44.49972916,-77.61836243,44.5596008,-77.6035004,CA,297,307.875345,3.661732315,Natural,All, ,1965-2016,52,TRUE,FALSE,TRUE,TRUE, , ,ONTARIO, ,100,Obj1,C,GL117,FALSE,Normal,431,6615,3889,7139,6836
11,02GA010,NITH RIVER NEAR CANNING,43.18972015,-80.45503235,43.1888008,-80.4402008,CA,1030,972.9316923,-5.540612398,Natural,All, ,1913-2016,82,TRUE,FALSE,TRUE,TRUE, , ,ERIE, ,100,Obj1,C,GL139,FALSE,Normal,391,6483,5005,7007,3689
12,02GA018,NITH RIVER AT NEW HAMBURG,43.37722015,-80.7108078,43.3712997,-80.6942978,CA,544,542.6597352,-0.2463722,Natural,All, ,1950-2016,66,TRUE,FALSE,FALSE,FALSE, , ,ERIE, ,100,Obj1,C,GL139,FALSE,Normal,385,6484,4985,7008,3669
13,02GA038,NITH RIVER ABOVE NITHBURG,43.48389053,-80.83499908,43.4746017,-80.8243027,CA,326,322.0187798,-1.221233202,Natural,All, ,1972-2016,45,TRUE,FALSE,FALSE,FALSE, , ,ERIE, ,100,Obj1,C,GL139,FALSE,Normal,441,6485,6484,7009,7008
14,02DC012,STURGEON RIVER AT UPPER GOOSE FALLS,46.97024918,-80.45877838,46.9588013,-80.4442978,CA,1200,1280.922832,6.743569296,Natural,All, ,1986-2016,31,TRUE,FALSE,TRUE,FALSE, , ,HURON, ,100,Obj1,C,GL152,FALSE,Normal,406,6528,2023,7052,1467
15,02EA005,NORTH MAGNETAWAN RIVER NEAR BURKS FALLS,45.66947174,-79.37918854,45.6571007,-79.3909988,CA,329,325.2301959,-1.145837107,Natural,All, ,1915-2017,103,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1,C,GL121,FALSE,Normal,593,6530,3529,7054,2514
16,02EB014,OXTONGUE RIVER NEAR DWIGHT,45.31196976,-78.98938751,45.3146019,-79.0059967,CA,605,570.9926365,-5.621051821,Natural,2017-End, ,1981-2016,36,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1,C,GL137,FALSE,Normal,576,6534,3565,7058,6528
17,02EC002,BLACK RIVER NEAR WASHAGO,44.71366882,-79.28160858,44.7178993,-79.2985001,CA,1510,1451.415215,-3.879787061,Natural,All, ,1915-2016,102,TRUE,FALSE,FALSE,TRUE, , ,HURON, ,100,Obj1,C,GL142,FALSE,Normal,514,6535,3644,7059,2567
18,02EC018,PEFFERLAW BROOK NEAR UDORA,44.26752853,-79.1946106,44.2821007,-79.2009964,CA,347,348.3653365,0.393468725,Natural,All, ,1987-2016,30,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1,C,GL142,FALSE,Normal,290,6538,3709,7062,6055
19,02ED003,NOTTAWASAGA RIVER NEAR BAXTER,44.24980927,-79.82141876,44.2653999,-79.8192978,CA,1230,1294.647281,5.255876519,Natural,All, ,1947-2016,70,FALSE,TRUE,TRUE,TRUE, , ,HURON, ,100,Obj1,C,GL118,FALSE,Normal,270,6540,3491,7064,2478
20,02ED015,MAD RIVER AT AVENING,44.3073616,-80.07202911,44.3246002,-80.1176987,CA,244,255.3748187,4.66181094,Natural,All, ,1988-2016,29,TRUE,FALSE,FALSE,FALSE, , ,HURON, ,100,Obj1,C,GL118,FALSE,Normal,505,6541,3473,7065,2461
21,02ED029,INNISFIL CREEK NEAR ALLISTON,44.13122177,-79.78096771,44.1036987,-79.8051987,CA,479,457.1369984,-4.564300965,Natural,All, ,2000-2016,17,TRUE,FALSE,FALSE,FALSE, , ,HURON,2010-03-28 - 2010-03-28; 2016-03-25 - 2016-06-01; 2017-11-08 - 2017-12-31,98.11406844,Obj1,C,GL118,FALSE,Normal,226,6544,3512,7068,2499
