Name,Lat,Lon,Country,Drainage_area,Regulation,Regulated/Natural_Period,Reference,Q_period,Q_length,Lake,Frank,Tim,Flow info,Upstream info
02GA010,NITH RIVER NEAR CANNING,43.18972015,-80.45503235,CA,1030,Natural,All,,1913-2016,82,,,,,
02GA018,NITH RIVER AT NEW HAMBURG,43.37722015,-80.7108078,CA,544,Natural,All,,1950-2016,66,,,,,
02GA038,NITH RIVER ABOVE NITHBURG,43.48389053,-80.83499908,CA,326,Natural,All,,1972-2016,45,,,,,
02GA047,SPEED RIVER AT CAMBRIDGE,43.42185974,-80.33274841,CA,762,Natural,All,,2002-2017,16,,,,,
02GB001,GRAND RIVER AT BRANTFORD,43.13272095,-80.2673111,CA,5200,Regulated,1942-End,,1913-2016,81,,,,,
02GB007,FAIRCHILD CREEK NEAR BRANTFORD,43.14738846,-80.15460968,CA,389,Natural,All,,1964-2015,52,,,,,
02GC002,KETTLE CREEK AT ST. THOMAS,42.77769089,-81.21399689,CA,331,Natural,All,,1945-2017,65,,,,,
02GC007,BIG CREEK NEAR WALSINGHAM,42.68561172,-80.53846741,CA,567,Regulated,1900-End,,1955-2016,62,,,,,
02GC010,BIG OTTER CREEK AT TILLSONBURG,42.85731125,-80.72357941,CA,354,Natural,All,,1960-2017,55,,,,,
02GC018,CATFISH CREEK NEAR SPARTA,42.74607849,-81.05693817,CA,295,Natural,All,,1964-2017,54,,,,,
02GC026,BIG OTTER CREEK NEAR CALTON,42.71067047,-80.84081268,CA,665,Regulated,1900-End,,1975-2017,43,,,,,
02GD004,MIDDLE THAMES RIVER AT THAMESFORD,43.05910873,-80.99485779,CA,306,Natural,1900-End,,1938-2017,80,,,,,
02GE007,MCGREGOR CREEK NEAR CHATHAM,42.38349915,-82.09506226,CA,204,Natural,All,,1977-2017,34,,,,,
02GG002,SYDENHAM RIVER NEAR ALVINSTON,42.83081055,-81.85172272,CA,701,Natural,All,,1947-2017,71,,,,,
02GG003,SYDENHAM RIVER AT FLORENCE,42.65061188,-82.00839233,CA,1150,Natural,All,,1984-2017,34,,,,,
02GG006,BEAR CREEK NEAR PETROLIA,42.90583038,-82.11911011,CA,249,Natural,All,,1966-2017,52,,,,,
02GG009,BEAR CREEK BELOW BRIGDEN,42.81203079,-82.29842377,CA,536,Natural,All,,1981-2017,37,,,,,
